,Course ID,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor,Department
0,48026,First Year Seminar: Architecture Edition II,3,A,N,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",CFA 214,"Workinger, Heather",ARCHITECTURE
1,48051,Study Abroad,0,A,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,ARCHITECTURE
2,48105,Architecture Design Studio: Foundation II,12,Lec 1,N,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  103,"Gutschow, Kai",ARCHITECTURE
3,48105,Architecture Design Studio: Foundation II,12,A,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
4,48105,Architecture Design Studio: Foundation II,12,B,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
5,48105,Architecture Design Studio: Foundation II,12,C,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
6,48105,Architecture Design Studio: Foundation II,12,D,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
7,48105,Architecture Design Studio: Foundation II,12,E,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
8,48105,Architecture Design Studio: Foundation II,12,F,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,ARCHITECTURE
9,48125,Digital Media II,6,A,N,R,09:00AM,12:20PM,"Pittsburgh, Pennsylvania",CFA 214,"Kim, Man",ARCHITECTURE
10,48126,Drawing II,6,A,N,T,09:00AM,12:20PM,"Pittsburgh, Pennsylvania",CFA 214,"Cooper, William",ARCHITECTURE
11,48126,This Section Cancelled,6,A4,N,TR,09:30AM,12:20PM,"Pittsburgh, Pennsylvania",CFA 214,"Cooper, William",ARCHITECTURE
12,48205,Architecture Design Studio: Elaboration II,18,Lec 1,N,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",MM  103,"Ficca, Jeremy",ARCHITECTURE
13,48205,Architecture Design Studio: Elaboration II,18,A,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Cruze, Elizabeth",ARCHITECTURE
14,48205,Architecture Design Studio: Elaboration II,18,B,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Kim, Man",ARCHITECTURE
15,48205,Architecture Design Studio: Elaboration II,18,C,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"King, Jeffery",ARCHITECTURE
16,48205,Architecture Design Studio: Elaboration II,18,D,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Lucchino, Jennifer",ARCHITECTURE
17,48205,Architecture Design Studio: Elaboration II,18,E,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Rodriguez Ladron De Guevara, Manuel",ARCHITECTURE
18,48205,Architecture Design Studio: Elaboration II,18,F,N,MF,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",TBA,TBA,ARCHITECTURE
19,48215,Materials and Assembly,9,A,N,MWF,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",BH  A51,"Damiani, Gerard",ARCHITECTURE
20,48240,Historical Survey of World Architecture and Urbanism I,9,A,N,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",MM  A14,"Shaw, Diane",ARCHITECTURE
21,48305,Architecture Design Studio: Integration II,18,Lec 1,N,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  A14,"Lee, Stephen",ARCHITECTURE
22,48305,Architecture Design Studio: Integration II,18,A,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,ARCHITECTURE
23,48305,Architecture Design Studio: Integration II,18,B,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,ARCHITECTURE
24,48305,Architecture Design Studio: Integration II,18,C,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,ARCHITECTURE
25,48305,Architecture Design Studio: Integration II,18,D,N,MF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,ARCHITECTURE
26,48305,Architecture Design Studio: Integration II,18,E,N,WF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,ARCHITECTURE
27,48332,Teaching and Learning,6,A3,Y,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA 206A,"Workinger, Heather",ARCHITECTURE
28,48339,IDeATe: Making Things Interactive,12,A,N,TR,12:30PM,02:20PM,"Pittsburgh, Pennsylvania",HL  A10,"Townsend, J.",ARCHITECTURE
29,48348,Architectural History of Mexico & Guatemala,9,A,N,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",DH  1117,"Shaw, Diane",ARCHITECTURE
30,48356,Color Drawing,9,A,N,R,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  321,"Cooper, William",ARCHITECTURE
31,48380,Real Estate Design and Development,6,A,N,M,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",MM  A14,"Vavasis, Valentina",ARCHITECTURE
32,48381,Ethics and Practice,12,A,N,WF,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",MM  A14,"Folan, John",ARCHITECTURE
33,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,Lec 1,N,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",MM  A14,TBA,ARCHITECTURE
34,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,A,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Bard, Joshua",ARCHITECTURE
35,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,B,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Damiani, Gerard",ARCHITECTURE
36,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,C,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Folan, John",ARCHITECTURE
37,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,D,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Gruber, Stefan",ARCHITECTURE
38,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,E,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Hayes, Hal",ARCHITECTURE
39,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,F,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Mondor, Christine",ARCHITECTURE
40,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,G,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,TBA,ARCHITECTURE
41,48410,Advanced Synthesis Options Studio II                                             : ASOS II Lecture,18,H,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Arscott, Mary-Lou",ARCHITECTURE
42,48440,"American Regions & Regionalism: An Architectural History of Place, Time, and Cul This Section Cancelled",9,A,N,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",DH  1117,"Shaw, Diane",ARCHITECTURE
43,48442,History of Asian Architecture,9,A,N,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",CFA 206A,"Zitterbart, Susan",ARCHITECTURE
44,48443,European Cities in the XIX Century,9,A,N,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",MM  321,"Torello, Francesca",ARCHITECTURE
45,48448,History of Sustainable Architecture                                              This Section Cancelled,9,A,N,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",DH  1117,"Rosenblum, Charles",ARCHITECTURE
46,48470,Exploring Pattern Through Lamination,9,A,N,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA SHOP,TBA,ARCHITECTURE
47,48473,"Hand and Machine Joinery, New Directions",9,A,N,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA SHOP,"Smith, Scott",ARCHITECTURE
48,48494,Beyond Patronage,9,A,N,MWF,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Folan, John",ARCHITECTURE
49,48496,Practice Reconsidered,9,A,N,MWF,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",MM  320,"Folan, John",ARCHITECTURE
50,48497,Thesis Prep,3,A,N,W,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",MM  303,"Gutschow, Kai",ARCHITECTURE
51,48497,Thesis Prep,3,B,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Gutschow, Kai",ARCHITECTURE
52,48510,Advanced Synthesis Options Studio IV,18,Lec 1,N,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",TBA,TBA,ARCHITECTURE
53,48510,Advanced Synthesis Options Studio IV,18,A,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Bard, Joshua",ARCHITECTURE
54,48510,Advanced Synthesis Options Studio IV,18,B,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Damiani, Gerard",ARCHITECTURE
55,48510,Advanced Synthesis Options Studio IV,18,C,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Folan, John",ARCHITECTURE
56,48510,Advanced Synthesis Options Studio IV,18,D,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Gruber, Stefan",ARCHITECTURE
57,48510,Advanced Synthesis Options Studio IV,18,E,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Hayes, Hal",ARCHITECTURE
58,48510,Advanced Synthesis Options Studio IV,18,F,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Mondor, Christine",ARCHITECTURE
59,48510,Advanced Synthesis Options Studio IV,18,G,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,TBA,ARCHITECTURE
60,48510,Advanced Synthesis Options Studio IV,18,H,N,WF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Arscott, Mary-Lou",ARCHITECTURE
61,48519,Architecture Design Studio: Thesis II/ Independent Project,18,A,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Mondor, Christine",ARCHITECTURE
62,48528,IDeATe: Responsive Mobile Environments,9,A,N,TR,02:30PM,04:20PM,"Pittsburgh, Pennsylvania",HL  A10,"Byrne, Daragh",ARCHITECTURE
63,48530,Human-Machine Virtuosity,12,A,N,MW,09:30AM,11:20AM,"Pittsburgh, Pennsylvania",MM  C4,"Bard, Joshua
Zeglin, Garth",ARCHITECTURE
64,48545,Digital Fabrication,9,A,N,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",MM  C4,"Pertierra, Jose",ARCHITECTURE
65,48555,Introduction to Architectural Robotics,6,A,N,TR,10:00AM,11:50AM,"Pittsburgh, Pennsylvania",MM  C4,"Pertierra, Jose",ARCHITECTURE
66,48559,Reality Computing II,VAR,A,N,MW,02:30PM,04:20PM,"Pittsburgh, Pennsylvania",HL  A5,"Folan, John
Corbett, Thomas",ARCHITECTURE
67,48564,Furniture Design & Construction,9,A,N,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA SHOP,"Smith, Scott",ARCHITECTURE
68,48569,GIS/CAFM,9,A,N,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",WEH 5202,"Kurland, Kristen",ARCHITECTURE
69,48587,Architecture Lighting Design,9,A,N,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",PCA 211,"Limauro, Cynthia",ARCHITECTURE
70,48599,Independent Study,3-9,A,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Cardoso Llach, Daniel",ARCHITECTURE
71,48599,Independent Study,3-9,B,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Ficca, Jeremy",ARCHITECTURE
72,48599,Independent Study,3-9,C,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kim, Man",ARCHITECTURE
73,48599,Independent Study,3-9,D,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Gutschow, Kai",ARCHITECTURE
74,48599,Independent Study,3-9,E,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hayes, Hal",ARCHITECTURE
75,48601,ASO Studio General (Spring),18,A,N,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,ARCHITECTURE
76,48637,Structures/Statics,6,A,N,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 206A,"Oppenheim, Irving",ARCHITECTURE
77,48640,M.Arch Studio: Integration II,18,A,N,MWF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Lee, Stephen",ARCHITECTURE
78,48640,M.Arch Studio: Integration II,18,B,N,MWF,12:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,"Lee, Stephen
Folan, John",ARCHITECTURE
79,48644,M.Arch ProSeminar,3,A,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Gutschow, Kai",ARCHITECTURE
80,48647,Materials and Assembly,9,A,N,MWF,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",BH  A51,"Damiani, Gerard",ARCHITECTURE
81,48655,Environment II: Design Integration of Active Building Systems                    : Environment IIThis Section Cancelled,9,A,N,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",TBA,"Baird, Nina",ARCHITECTURE
82,48658,Real Estate Design and Development,9,A,N,M,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",MM  A14,"Vavasis, Valentina",ARCHITECTURE
83,48691,MTID Studies,6,A,N,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kim, Man",ARCHITECTURE
