,Course_id,Course_url,Related URLs,Special Permission Required,Prerequisites,Corequisites,Cross-Listed Courses,Notes,Description
0,48001,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48001&SEMESTER=N18,Action will be taken as soon as possible to fix the problem. Please check back later.,,,,,,
1,48049,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48049&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,None
2,48490,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48490&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,None
3,48599,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48599&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,None
4,48700,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48700&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,None
5,48704,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48704&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,Missing Course Description - please contact the teaching department.
6,48708,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48708&SEMESTER=M18,http://soa.cmu.edu/,No,48707,None,None,None,None
7,48731,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48731&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,"This is the preparatory course for the synthesis project course in the  Master of Science in Sustainable Design (MSSD) program. Students will build  upon the Research Models and Methods class to develop an individual project  proposal in an area of their interest related to sustainable design. The  students will attend bi-weekly meetings with the instructor and will submit  a formal research project proposal at the conclusion of the semester  including an abstract, a research plan, a schedule, an annotated  bibliography and proposed deliverables.  Prerequisites: Fall Coursework as per curriculum."
8,48732,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48732&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,"Sustainable Design Synthesis II This is the synthesis project course in the Master of Science in Sustainable Design (MSSD) program in the School of Architecture at Carnegie Mellon University. This course deals with synthesis in solving sustainable design problems using the tools, theories and methods studied in the prerequisite courses. Students will attend weekly meetings with the instructor, conduct the proposed research, submit a final written report and make a presentation of their project in a public forum. Nine-Month Program: Students will build upon the Research Models and Methods class to finalize an individual project proposal in an area of their interest related to sustainable design.  Prerequisites: 48-711, 48-722, 48-737, 48-752 or approved equivalents plus one selective.  Co-requisites: 48-723 or approved equivalent plus two selectives.  Twelve-Month Program: Students will complete the proposed project developed and approved in the Sustainable Design Synthesis I course. Prerequisites: 48-711, 48-722, 48-737, 48-752, 48-723, 48-795 or approved equivalents plus three selectives  Instructor: Stephen Lee  Units: 24 Units"
9,48791,https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/courseDetails?COURSE=48791&SEMESTER=M18,http://soa.cmu.edu/,No,None,None,None,None,This course is for students to undertake a major project in which knowledge gained in the core courses is applied to problems relevant to the field of architecture. Course must be taken under the advice of a faculty member teaching in the MSc-Ph.D. Programs. Master of Science Students who perform satisfactorily in the Graduate Research Seminar course are permitted to take the Masters project course. Prerequisite: completion of all core requirements and consent of the instructors of 48-790 and 48-791.
