,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,48001,Architecture Elective,summer two,9,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
1,48049,Study Abroad,summer all,"0,36",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
2,48490,Internship,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Arscott, Mary-Lou"
3,48599,Independent Study,summer all,3-9,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
4,48700,Practicum,summer all,0-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
5,48704,Internship,summer all,0-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
6,48704,: PhD Summer Internship,summer all,,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cochran, Erica
Krishnamurti, Ramesh
Cardoso Llach, Daniel
Loftness, Vivian"
7,48704,: PhD Summer Internship,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
8,48708,Sustainable Urbanism Studio,summer all,18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Kline, Jonathan"
9,48708,Sustainable Urbanism Studio,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Kline, Jonathan"
10,48731,Sustainable Design Synthesis Prep,summer all,12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
11,48731,Sustainable Design Synthesis Prep,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
12,48731,Sustainable Design Synthesis Prep,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
13,48732,Sustainable Design Synthesis,summer all,"0,12,24",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Loftness, Vivian
Abdul-Aziz, Azizan
Cochran, Erica
Cupkova, Dana"
14,48732,Sustainable Design Synthesis,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Loftness, Vivian
Abdul-Aziz, Azizan
Cochran, Erica
Cupkova, Dana"
15,48791,M.S. Project,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Krishnamurti, Ramesh
Kim, Man"
16,48792,Ph.D. Independent Study,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
17,48793,Ph.D. Thesis,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
18,48794,Graduate Reading and Research,summer all,"5,36,48",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
19,48794,Graduate Reading and Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
