,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,03121,Modern Biology,summer two,9,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  214,"Campanaro, Becki"
1,03124,Modern Biology Laboratory,summer two,9,U,,MW,12:00PM,12:50PM,"Pittsburgh, Pennsylvania",MI  355,"Doonan, Carrie"
2,03124,Modern Biology Laboratory,summer two,,N,,MW,01:00PM,02:50PM,"Pittsburgh, Pennsylvania",MI  333,"Doonan, Carrie"
3,03133,Neurobiology of Disease,summer two,9,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",SH  214,"Brasier, Daniel"
4,03210,Independent Study,summer two,1-12,R,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Campanaro, Becki"
5,03210,Independent Study,summer two,,U,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Campanaro, Becki"
6,03445,Undergraduate Research,summer one,1-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Campanaro, Becki"
7,03445,Undergraduate Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Campanaro, Becki"
8,03445,Undergraduate Research,qatar summer,,X,,TBA,TBA,TBA,"Doha, Qatar",TBA,"Younis, Ihab"
9,03601,Computational Biology Internship,summer all,3-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Brasier, Daniel"
10,03601,Computational Biology Internship,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Brasier, Daniel"
11,03700,MS Thesis Research,summer all,6-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Brasier, Daniel"
12,03700,MS Thesis Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Brasier, Daniel"
13,03900,Doctoral Thesis Research,summer all,5-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Hinman, Veronica"
14,03900,Doctoral Thesis Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Hinman, Veronica"
