,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,42200,Sophomore BME Research Project,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
1,42300,Junior BME Research Project,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
2,42400,Senior BME Research Project,summer all,3-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
3,42790,Practicum in Biomedical Engineering,summer all,12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Trumble, Dennis"
4,42792,Extramural Practicum,summer all,3-36,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
5,42799,Directed Study,summer all,3-9,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
6,42890,M.S. Research,summer all,9-48 4,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
7,42899,M.S. Research Final Report,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
8,42990,Ph.D. Thesis Research,summer all,3-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
9,42997,Ph.D. Qualifying Examination,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
10,42998,Ph.D. Proposal,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
11,42999,Ph.D Thesis Defense,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Zapanta, Conrad"
