,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,70122,Introduction to Accounting,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  219,"Hwang, Hyun"
1,70122,Introduction to Accounting,summer two,,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  219,"Xue, Wenjie"
2,70201,Professional and Service Projects,qatar summer,9,W,,UMTWR,01:30PM,03:00PM,"Doha, Qatar",TBA,"White, George"
3,70207,Probability and Statistics for Business Applications,summer one,9,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A18A,"Benade, Johannes"
4,70208,Regression Analysis,summer one,9,S,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",WEH 5302,"Feng, Chi"
5,70311,Organizational Behavior,summer one,9,S,,MTWRF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",DH  A302,"Iorio, Alessandro"
6,70311,Organizational Behavior,summer two,,U,,MTWRF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",SH  208,"Gupta, Pranav"
7,70371,Operations Management,summer one,9,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",SH  208,TBA
8,70381,Marketing I,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  222,"Han, Jung Ho"
9,70391,Finance,summer one,9,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A22,"Berbeglia, Franco"
10,70499,Internship,summer all,1-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hollifield, George Burton"
