,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,99099,Carnegie Mellon University Summer Program,summer two,6,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
1,99239,Introduction to Nanoscience and Technology,summer two,9,U,,MWF,01:00PM,02:50PM,"Pittsburgh, Pennsylvania",SH  214,"Bockstaller, Michael"
2,99270,Summer Undergraduate Research Apprenticeship,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,99275,Summer ReCharge,summer one,3,S,,M,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",DH  A302,"Boyd, Chante
Manke, Kody"
4,99275,Summer ReCharge,summer one,,N,,W,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",TBD TBD,"Boyd, Chante
Manke, Kody"
5,99275,Summer ReCharge,summer one,,ST,,M,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",DH  A302,"Boyd, Chante
Manke, Kody"
6,99275,Summer ReCharge,summer one,,N,,W,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",TBD TBD,"Boyd, Chante
Manke, Kody"
7,99275,Summer ReCharge,summer one,,T,,M,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",DH  A302,"Boyd, Chante
Manke, Kody"
8,99275,Summer ReCharge,summer one,,N,,W,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",TBD TBD,"Boyd, Chante
Manke, Kody"
9,99405,Directed Study,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Burkert, Amy"
10,99411,Summer Internship,summer all,9-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Burkert, Amy"
11,99411,Summer Internship,qatar summer,,W,,TBA,TBA,TBA,"Doha, Qatar",DNM,"Limam Mansar, Selma"
12,99412,Summer Internship P/F,summer all,1,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mozisek, Korryn"
13,99412,Summer Internship P/F,qatar summer,,W,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
