,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,09001,Chemistry Elective,summer one,1-12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
1,09001,Chemistry Elective,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
2,09050,Study Abroad,summer one,0,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,09050,Study Abroad,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
4,09101,Introduction to Experimental Chemistry,summer two,3,U,Y,M,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",DH  2302,"Neiderlander, Carolyn"
5,09101,Introduction to Experimental Chemistry,summer two,,N,Y,W,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",DH  2303,"Neiderlander, Carolyn"
6,09105,Introduction to Modern Chemistry I,summer one,10,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",DH  2302,"Sherwood, Gizelle"
7,09105,Introduction to Modern Chemistry I,summer two,,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",DH  2302,"Henderson, Charles"
8,09106,Modern Chemistry II,summer one,10,S,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",DH  2302,"Vuocolo, Leonard"
9,09217,Organic Chemistry I,summer one,9,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",DH  2302,"Silva, Gloria"
10,09218,Organic Chemistry II,summer two,9,U,,MWF,10:30AM,12:50PM,"Pittsburgh, Pennsylvania",DH  2302,TBA
11,09435,Independent Study Chemistry,summer one,1.0 - 12.0,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
12,09435,Independent Study Chemistry,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
13,09445,Undergraduate Research,summer one,3-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
14,09445,Undergraduate Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Stump, Karen"
15,09861,Chemical Research,summer two,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Freeland, Rebecca"
16,09861,Chemical Research,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Freeland, Rebecca"
17,09861,Chemical Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Freeland, Rebecca"
18,09871,Doctoral Dissertation,summer one,5,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Freeland, Rebecca"
19,09871,Doctoral Dissertation,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Freeland, Rebecca"
20,09990,Internship,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Freeland, Rebecca"
21,09990,Internship,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Freeland, Rebecca"
22,09990,Internship,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Freeland, Rebecca"
