,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,12690,Independent Study                                                                : Independent Study,summer one,3-9,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dzombak, David"
1,12791,Graduate Project,summer one,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
2,12792,Advanced Independent Study,summer one,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,12799,Ph.D. Thesis,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
4,12799,Ph.D. Thesis,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
5,12993,Reading and Research in Civil and Environmental Engineering,summer all,"5,18,36",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"TBA
TBA"
6,12993,Reading and Research in Civil and Environmental Engineering,summer all,,N,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"TBA
TBA"
7,12993,Reading and Research in Civil and Environmental Engineering,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
8,12994,Internship in Civil and Environmental Engineering,summer two,"5,18,36",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Dzombak, David"
9,12995,Internship in Civil and Environmental Engineering,summer two,1-36,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
10,12995,Internship in Civil and Environmental Engineering,summer two,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
