,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,67373,Software Development Project,qatar summer,12,W,,UMTWR,10:30AM,12:00PM,"Doha, Qatar",TBA,"Liginlal, Divakaran"
1,67390,Independent Study in Information Systems,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Heimann, Clarence"
2,67390,Independent Study in Information Systems,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Sooriamurthi, Raja"
3,67390,Independent Study in Information Systems,summer all,,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mcknight, Jeria"
4,67390,Independent Study in Information Systems,summer all,,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Weinberg, Randy"
5,67390,Independent Study in Information Systems,summer all,,E,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mertz, Joseph"
6,67390,Independent Study in Information Systems,summer all,,F,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Moussawi, Sara"
7,67495,Advanced Projects in Information Systems,summer one,3-12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Heimann, Clarence"
8,67505,Information Systems Internship,summer all,1-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Heimann, Clarence"
9,67505,Information Systems Internship,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Sooriamurthi, Raja"
10,67505,Information Systems Internship,summer all,,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mcknight, Jeria"
11,67505,Information Systems Internship,summer all,,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Weinberg, Randy"
12,67505,Information Systems Internship,summer all,,E,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mertz, Joseph"
13,67505,Information Systems Internship,summer all,,F,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Moussawi, Sara"
