,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,73100,Principles of Economics,summer two,9,U,,MTWRF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",POS MN AUD,"Ozdenoren, Hakki"
1,73102,Principles of Microeconomics,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",WEH 5302,TBA
2,73103,Principles of Macroeconomics,summer two,9,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",WEH 5302,TBA
3,73111,Internship I,summer two,1-3,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
4,73111,Internship I,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
5,73113,Internship III,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Goldburg, Carol"
6,73113,Internship III,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
7,73305,Upper Level Economics Elective Transfer Credit,summer all,9-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Goldburg, Carol"
8,73306,Upper Level Economics Elective Transfer Credit,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
9,73395,Independent Study in Economics,summer one,1-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
10,73401,Study Abroad Upper Level Economics Elective,summer one,9-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
11,73401,Study Abroad Upper Level Economics Elective,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
12,73402,Study Aboard Upper Level Economics Elective,summer one,9-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
13,73402,Study Aboard Upper Level Economics Elective,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
14,73403,Study Aboard Upper Level Economics Elective,summer one,9-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
15,73403,Study Aboard Upper Level Economics Elective,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
16,73404,Study Aboard Upper Level Economics Elective,summer one,9-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
17,73404,Study Aboard Upper Level Economics Elective,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Goldburg, Carol"
18,73495,Advanced Independent Study in Economics,summer two,1-18,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
