,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,18213,Introduction to Computer Systems,summer all,12,A,,TWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",GHC 4215,"Railing, Brian"
1,18231,Sophomore Projects,summer all,1-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
2,18331,Junior Projects,summer one,0-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Marculescu, Diana"
3,18331,Junior Projects,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Marculescu, Diana"
4,18390,ECE CO-OP,summer all,0-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
5,18432,Senior Projects,summer all,1-42,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
6,18432,Senior Projects,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
7,18499,Internship,summer all,0-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Marculescu, Diana"
8,18499,Internship,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
9,18980,M.S. Graduate Project,summer all,0-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
10,18980,M.S. Graduate Project,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
11,18980,M.S. Graduate Project,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
12,18980,M.S. Graduate Project,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
13,18980,M.S. Graduate Project,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
14,18990,Reading and Research,summer all,0-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
15,18990,Reading and Research,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
16,18990,Reading and Research,summer all,,PP,,TBA,TBA,TBA,"Lisbon, Portugal",DNM,"Marculescu, Diana"
17,18990,Reading and Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
18,18990,Reading and Research,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
19,18990,Reading and Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Marculescu, Diana"
20,18993,ECE Graduate Teaching Internship,summer all,1-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
21,18994,Internship for Electrical and Computer Engineering MS Students,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
22,18994,Internship for Electrical and Computer Engineering MS Students,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
23,18994,Internship for Electrical and Computer Engineering MS Students,summer all,,PP,,TBA,TBA,TBA,"Lisbon, Portugal",DNM,"Marculescu, Diana"
24,18994,Internship for Electrical and Computer Engineering MS Students,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
25,18995,Practicum in Electrical and Computer Engineering,summer all,0-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
26,18995,Practicum in Electrical and Computer Engineering,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
27,18996,Internship one for Electrical and Computer Engineering PhD Students,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
28,18996,Internship one for Electrical and Computer Engineering PhD Students,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
29,18996,Internship one for Electrical and Computer Engineering PhD Students,summer all,,PP,,TBA,TBA,TBA,"Lisbon, Portugal",DNM,"Marculescu, Diana"
30,18996,Internship one for Electrical and Computer Engineering PhD Students,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
31,18997,Internship Two for Electrical and Computer Engineering PhD Students,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
32,18997,Internship Two for Electrical and Computer Engineering PhD Students,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
33,18997,Internship Two for Electrical and Computer Engineering PhD Students,summer all,,PP,,TBA,TBA,TBA,"Lisbon, Portugal",DNM,"Marculescu, Diana"
34,18997,Internship Two for Electrical and Computer Engineering PhD Students,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
35,18998,Internship Three Electrical and Computer Engineering PhD Students,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Marculescu, Diana"
36,18998,Internship Three Electrical and Computer Engineering PhD Students,summer all,,GZ,,TBA,TBA,TBA,"Guangzhou, China",DNM,"Marculescu, Diana"
37,18998,Internship Three Electrical and Computer Engineering PhD Students,summer all,,PP,,TBA,TBA,TBA,"Lisbon, Portugal",DNM,"Marculescu, Diana"
38,18998,Internship Three Electrical and Computer Engineering PhD Students,summer one,,SV,,TBA,TBA,TBA,"San Jose, California",DNM,"Marculescu, Diana"
