,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,19051,Study Abroad,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Matthews, Deanna"
1,19500,Directed Study in EPP: Undergraduate,summer all,0-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Matthews, Deanna"
2,19550,Undergraduate Research,summer all,0-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Matthews, Deanna"
3,19695,Internship Practicum,summer all,0-12,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Williams, Jimmy"
4,19770,Research Practicum in EPP,summer all,"0,5,18,36",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cranor, Lorrie
Matthews, Deanna"
5,19797,Reading and Research: Project Research,summer all,"5,18,36",PP,,TBA,TBA,TBA,"Lisbon, Portugal",TBA,"Cranor, Lorrie
Matthews, Deanna"
6,19797,Reading and Research: Project Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Cranor, Lorrie
Matthews, Deanna"
7,19797,Reading and Research: Project Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Matthews, Deanna
Cranor, Lorrie"
8,19798,Reading and Research: Thesis Research,summer two,"5,18,36",PP,,TBA,TBA,TBA,"Lisbon, Portugal",TBA,"Cranor, Lorrie
Matthews, Deanna"
9,19798,Reading and Research: Thesis Research,summer two,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Cranor, Lorrie
Matthews, Deanna"
10,19798,Reading and Research: Thesis Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Matthews, Deanna
Cranor, Lorrie"
11,19995,Internship in EPP,summer two,VAR,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cranor, Lorrie"
