,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,76101,Interpretation and Argument,summer one,9,S,,MWF,12:00PM,02:20PM,"Pittsburgh, Pennsylvania",PH  A20,"Stamm, Craig"
1,76101,Interpretation and Argument,summer one,,T,,MWF,03:00PM,05:20PM,"Pittsburgh, Pennsylvania",GHC 4215,"Goessling, Jacob"
2,76101,Interpretation and Argument,summer two,,U,,MWF,09:00AM,11:20AM,"Pittsburgh, Pennsylvania",WEH 5328,"Poznahovska, Maria"
3,76101,Interpretation and Argument,summer two,,V,,MWF,03:00PM,05:20PM,"Pittsburgh, Pennsylvania",BH  A54,"Mitchell, Ryan"
4,76241,Introduction to Gender Studies                                                   : Introduction to Gender Studies,summer one,9,S,,MWF,09:00AM,11:20AM,"Pittsburgh, Pennsylvania",PH  A19,"Smith, Jamie"
5,76246,Introduction to Shakespeare,summer two,9,U,,MWF,12:00PM,02:20PM,"Pittsburgh, Pennsylvania",BH  255B,"Wittek, Stephen"
6,76265,Survey of Forms: Poetry                                                          : POETR,summer one,9,S,,MWF,12:00PM,02:20PM,"Pittsburgh, Pennsylvania",BH  255B,"Shapiro, Lauren"
7,76270,Writing for the Professions                                                      : Writing for the Professions,summer one,9,S,,MWF,09:00AM,11:20AM,"Pittsburgh, Pennsylvania",TBD TBD,"Goss, Margaret"
8,76301,Internship,summer one,3-12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Wynn, James"
9,76301,Internship,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Wynn, James"
10,76370,Independent Study in Literary and Cultural Studies,summer all,3-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
11,76809,Writing Research for Graduate Students                                           : Writing Research for Graduate Students,summer one,9-12,S,,MWF,12:00PM,02:20PM,"Pittsburgh, Pennsylvania",BH  154A,"Wright, Heidi"
