,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,94700,Organizational Design & Implementation,summer all,6,A5,Y,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH A301,"Lassman, David"
1,94700,Organizational Design & Implementation,summer all,,B5,Y,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Lassman, David"
2,94800,Negotiation,summer all,6,A6,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Simmer, Jared"
3,94802,Geographic Information Systems,qatar summer,12,Z,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Kurland, Kristen"
4,94806,Privacy in the Digital Age,qatar summer,6,K6,Y,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
5,94811,Strategy Development,qatar summer,6,Z5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Zak, Timothy"
6,94824,Creating Results-Oriented Programs,summer all,6,A6,Y,R,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,"Hannigan, Matthew"
7,94846,"Coaching, Training & Employee Development",summer all,6,A5,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Lazear, Jarred"
8,94861,Smart City,summer all,6,A6,Y,TR,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Chowdhury, Sumit"
9,94900,Internship,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Delfine, Ron"
