,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,79104,Global Histories,summer two,9,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  208,"Roszman, Jay"
1,79201,Introduction to Anthropology,summer two,9,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",SH  208,"Alfonso-Wells, Shawn"
2,79266,Russian  History: From Communism to Capitalism,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",SH  214,"Grunewald, Susan"
3,79300,History of American Public Policy,qatar summer,9,W,,UMTWR,10:30AM,12:00PM,"Doha, Qatar",TBA,"Busch, David"
4,79338,History of Education in America,qatar summer,9,W,,UMTWR,01:30PM,03:00PM,"Doha, Qatar",TBA,"Busch, David"
5,79341,The Cold War in Documents and Film,summer one,9,S,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A21,"Kats, Naum"
6,79347,"Masterworks of European Culture: Music, Art, Society Before and After WW I & II",summer one,9,S,,MTWRF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",SH  212,"Kats, Naum"
7,79491,Independent Study,summer one,3-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
8,79491,Independent Study,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
9,79506,Global Studies Internship,summer two,"3,6,9",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
10,79893,History Dissertation,summer one,5-36,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
11,79896,Reading and Research,summer one,36,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
