,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,14699,Silicon Valley Residency                                                         : Silicon Valley Residency,summer all,0,A,,TBA,TBA,TBA,"San Jose, California",DNM,TBA
1,14700,INI Project/Thesis Research,summer all,0-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
2,14706,Information Networking Project,summer all,0-42,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
3,14707,Information Networking Thesis,summer all,6-42,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
4,14708,INI Independent Study,summer all,0-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
5,14708,INI Independent Study,summer all,,B,,TBA,TBA,TBA,"San Jose, California",DNM,"Tsamitis, Dena"
6,14728,INI Independent Study,summer all,0-12,A5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
7,14728,INI Independent Study,summer all,,A6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
8,14728,INI Independent Study,summer all,,B5,Y,TBA,TBA,TBA,"San Jose, California",DNM,"Tsamitis, Dena"
9,14728,INI Independent Study,summer all,,B6,Y,TBA,TBA,TBA,"San Jose, California",DNM,"Tsamitis, Dena"
10,14797,Internship,summer all,0-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Tsamitis, Dena"
