,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,95565,Introduction to Information Security,summer all,9,A,,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1006,"Trzeciak, Randall
Mayes, Joseph"
1,95568,Data Management and Security,summer all,9,A,,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1007,"Sooriamurthi, Raja"
2,95569,Ethical Penetration Testing,summer all,9,A,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1007,"Albrethsen, Michael
Cook, Michael"
3,95703,Database Management,summer all,12,A,,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Szczypula, Janusz"
4,95703,Database Management,summer all,,B,,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Szczypula, Janusz"
5,95703,Database Management,summer all,,C,,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Szczypula, Janusz"
6,95705,Telecommunications Management,qatar summer,12,Z,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Yucel, Sakir"
7,95710,Economic Analysis,qatar summer,6,Z6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
8,95712,Object Oriented Programming in JAVA,summer all,12,A,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH A301,"Dwivedi, Neelam"
9,95712,Object Oriented Programming in JAVA,summer all,,B,,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH A301,"Dwivedi, Neelam"
10,95715,Financial Accounting,summer all,6,A5,Y,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1202,"Pastor, Lynne"
11,95715,Financial Accounting,summer all,,B5,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Pastor, Lynne"
12,95717,Writing for Information Systems Management,summer all,6,A6,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1005,"Walter, Beth"
13,95717,Writing for Information Systems Management,summer all,,B6,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1005,"Walter, Beth"
14,95717,Writing for Information Systems Management,qatar summer,,Y6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Hyatt, Kim"
15,95717,Writing for Information Systems Management,qatar summer,,Z6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Hyatt, Kim"
16,95718,Professional Speaking,summer all,6,A6,Y,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
17,95718,Professional Speaking,summer all,,B6,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
18,95718,Professional Speaking,summer all,,C6,Y,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
19,95718,Professional Speaking,summer all,,D6,Y,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
20,95718,Professional Speaking,summer all,,E6,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
21,95718,Professional Speaking,summer all,,F6,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Labash, Stefan"
22,95720,Information Systems Project,summer all,0-24,K,,W,03:00PM,05:50PM,"Adelaide, Australia",TOR CLASS2,"Esmail Zadeh, Riaz
MCconchie, Jan"
23,95720,Information Systems Project,summer one,,T,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
24,95720,Information Systems Project,summer two,,V,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
25,95720,Information Systems Project,qatar summer,,W,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
