,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,49746,Integrated Innovation Institute Internship/Practica                              : Integrated Innovation Institute Internship/Practica,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Boatwright, Peter"
1,49766,Agile Marketing for High Tech Innovation,summer all,12,A5,Y,R,05:30PM,09:20PM,"San Jose, California",B23 118,"Root, Sheryl"
2,49766,Agile Marketing for High Tech Innovation,summer all,,R5,Y,R,05:30PM,09:20PM,"San Jose, California",TBA,"Root, Sheryl"
3,49767,Organizational Behavior for High Tech Knowledge Industry,summer all,12,A6,Y,R,05:30PM,09:20PM,"San Jose, California",B23 118,"Root, Sheryl"
4,49767,Organizational Behavior for High Tech Knowledge Industry,summer all,,R6,Y,R,05:30PM,09:20PM,"San Jose, California",TBA,"Root, Sheryl"
5,49768,Special Topics: Finance for Entrepreneurial Ventures,summer all,12,A,,W,05:30PM,09:20PM,"San Jose, California",B23 118,"Thomas, Ravi"
6,49768,Special Topics: Finance for Entrepreneurial Ventures,summer all,,R,,W,05:30PM,09:20PM,"San Jose, California",B23 118,"Thomas, Ravi"
7,49782,Open Source Software,summer all,12,A6,Y,M,05:30PM,09:30PM,"San Jose, California",B23 118,"Wasserman, Anthony"
8,49782,Open Source Software,summer all,,R6,Y,M,05:30PM,09:20PM,"San Jose, California",B23 118,"Wasserman, Anthony"
9,49783,Introduction to Cloud Computing                                                  : Introduction to Cloud Computing,summer all,12,A,,T,05:30PM,09:20PM,"San Jose, California",B23 118,"Fang, Fang"
10,49783,: Introduction to Cloud Computing,summer all,,R,,T,05:30PM,09:20PM,"San Jose, California",TBA,"Fang, Fang"
11,49789,Special Topics: Architecture Principles for Product Managers,summer all,12,A5,Y,M,05:30PM,09:20PM,"San Jose, California",B23 118,"Shaikh, Karimulla"
12,49789,Special Topics: Architecture Principles for Product Managers,summer all,,R5,Y,M,05:30PM,09:20PM,"San Jose, California",TBA,"Shaikh, Karimulla"
13,49790,Software Management Independent Study,summer all,"3,6,12,24",A,,TBA,TBA,TBA,"San Jose, California",DNM,TBA
14,49791,Software Management Capstone Project,summer all,"3,6,12,24",A,,TBA,TBA,TBA,"San Jose, California",DNM,TBA
15,49792,Software Management Practicum                                                    : Software Management Practicum,summer all,"3,6,8-9,1224",A,,TBA,TBA,TBA,"San Jose, California",DNM,"Mercier, Gladys"
16,49793,Practical Training in Software Management                                        : Curricular Practical Training in Software Management,summer all,VAR,A,,TBA,TBA,TBA,"San Jose, California",DNM,"Mercier, Gladys"
17,49859,Master of Science in Technology Ventures - Internship/Practica,summer all,3,A,,TBA,TBA,TBA,"San Jose, California",DNM,"Root, Sheryl"
