,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,27111,Academic Variant,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
1,27390,Internship,summer all,0-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
2,27454,Supervised Reading,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
3,27555,Materials Project I,summer all,"6,9",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
4,27556,Materials Project II,summer all,"6,9",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
5,27675,Masters Report,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Khan, Neetha"
6,27756,Masters Project,summer all,1-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Rohrer, Gregory
TBA"
7,27773,Graduate Reading and Research,summer all,"5,18,36",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Rohrer, Gregory"
8,27775,Thesis,summer all,1-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Rohrer, Gregory
TBA"
9,27995,Internship,summer all,1-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
10,27995,Internship,summer all,,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
11,27995,Internship,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Rohrer, Gregory"
