,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,21115,Basic Differential Calculus,Session,5,H,,MTWRF,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5302,"Hagerty, Adrian"
1,21120,Differential and Integral Calculus,summer two,10,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",GHC 4211,"Stinson, Kerrek"
2,21120,Differential and Integral Calculus,qatar summer,,W,,TBA,TBA,TBA,"Doha, Qatar",TBA,TBA
3,21122,Integration and Approximation,summer one,10,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5302,"Flaherty, Timothy"
4,21127,Concepts of Mathematics,summer one,10,S,,MTWRF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",SH  219,"Gheorghiciuc, Irina"
5,21127,Concepts of Mathematics,summer two,,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",SH  125,"Cox, Christopher"
6,21241,Matrices and Linear Transformations,summer one,10,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",DH  A302,"Flaherty, Timothy"
7,21256,Multivariate Analysis,qatar summer,9,W,,UMTWR,09:00AM,10:30AM,"Doha, Qatar",TBA,TBA
8,21259,Calculus in Three Dimensions,summer one,9,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",GHC 4215,"Ye, Weicheng"
9,21260,Differential Equations,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",GHC 4215,"Zhang, Jing"
10,21470,Selected Topics in Analysis                                                      : Mathematical Finance,summer one,9,H,,MTWRF,01:30PM,03:00PM,"Pittsburgh, Pennsylvania",WEH 8220,"Handron, David"
11,21590,Practicum,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Walker, Russell"
12,21599,Undergraduate Reading and Research,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Walker, Russell"
13,21599,Undergraduate Reading and Research,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
14,21599,Undergraduate Reading and Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
15,21785,Practicum in Mathematical Sciences,summer two,0-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hrusa, William"
16,21900,Reading and Research,summer two,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hrusa, William"
17,21994,Internship in Mathematical Sciences,summer two,VAR,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hrusa, William"
