,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,24052,Internship in Mechanical Engineering,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
1,24390,Mechanical Engineering Co-op,summer all,0-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
2,24390,Mechanical Engineering Co-op,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
3,24391,Mechanical Engineering Project,summer all,"3-12,18",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
4,24391,Mechanical Engineering Project,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
5,24391,Mechanical Engineering Project,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
6,24392,Mechancial Engineering Project,summer all,3-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
7,24392,Mechancial Engineering Project,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
8,24392,Mechancial Engineering Project,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
9,24491,Department Research Honors,summer all,3-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
10,24491,Department Research Honors,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
11,24491,Department Research Honors,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
12,24492,Department Research Honors,summer all,3-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
13,24492,Department Research Honors,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
14,24492,Department Research Honors,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
15,24793,Supervised Reading,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
16,24794,Master of Science Project,summer all,0-99,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
17,24796,Graduate Reading and Research,summer all,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris
TBA"
18,24796,Graduate Reading and Research,summer all,,N,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris
TBA"
19,24799,Practicum in Mechanical Engineering,summer all,0-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
20,24799,Practicum in Mechanical Engineering,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
21,24995,Internship in Mechanical Engineering,summer all,3,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Hertz, Chris"
