,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,82101,Elementary French I,summer one,12,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A21,TBA
1,82101,Elementary French I,summer two,,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  154A,TBA
2,82101,Elementary French I,qatar summer,,W,,UMTWR,03:00PM,04:30PM,"Doha, Qatar",TBA,"Youngs, Bonnie"
3,82102,Elementary French II,summer one,12,S,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A20A,TBA
4,82102,Elementary French II,summer two,,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",SH  212,TBA
5,82103,Elementary French I Online,summer one,12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Youngs, Bonnie"
6,82103,Elementary French I Online,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Youngs, Bonnie"
7,82104,Elementary French II Online,summer one,12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Youngs, Bonnie"
8,82104,Elementary French II Online,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Youngs, Bonnie"
9,82114,Arabic for Global Exchange Online,summer one,6,S,Y,T,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A19,"Abraham, Nevine"
10,82114,Arabic for Global Exchange Online,summer two,,U,Y,T,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A19,"Abraham, Nevine"
11,82115,Beginning Arabic for Oral Communication,summer one,6,S,Y,T,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A19,"Abraham, Nevine"
12,82115,Beginning Arabic for Oral Communication,summer two,,U,Y,T,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A19,"Abraham, Nevine"
13,82131,Elementary Chinese I,summer one,12,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A20,"Wiener, Seth"
14,82131,Elementary Chinese I,summer two,,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A19C,"Liu, Gang"
15,82132,Elementary Chinese II,summer one,12,S,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A20A,"Wiener, Seth"
16,82132,Elementary Chinese II,summer two,,U,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A19C,"Liu, Gang"
17,82133,Elementary Chinese Online I,summer one,12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Wu, Sue-Mei"
18,82133,Elementary Chinese Online I,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Wu, Sue-Mei"
19,82134,Elementary Chinese Online II,summer one,12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Wu, Sue-Mei"
