,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,57149,Basic Harmony I,summer one,9,S,,MTWR,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",MM  116,"Domencic, Mark"
1,57173,Survey of Western Music History,summer one,9,S,,MTWR,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5328,"Johnston, Paul"
2,57188,Repertoire and Listening for Musicians,summer one,1,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Paul"
3,57341,Sound Recording Workshop,summer two,9,U,,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",SH  125,"Schulz, Riccardo
Sullivan, Thomas"
4,57341,Sound Recording Workshop,summer two,,N,,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",CFA A6,"Schulz, Riccardo
Sullivan, Thomas"
5,57342,Sound Recording Workshop,summer two,6,U,,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",CFA A6,"Schulz, Riccardo"
6,57590,Internship,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon"
7,57690,Practicum,summer all,0-3,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon"
8,57857,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Neely, Stephen
Young, Walter"
9,57858,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Neely, Stephen
Young, Walter"
10,57859,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Neely, Stephen
Young, Walter"
11,57878,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Young, Walter
Neely, Stephen"
12,57879,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Young, Walter
Neely, Stephen"
13,57880,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Young, Walter
Neely, Stephen"
14,57939,Dalcroze Eurhythmics Workshop,summer two,3-36,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
15,57971,Music and Technology Performance/Thesis,summer all,1-18,A6,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon"
