,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,90452,Applied Statistics for Public Policy,summer all,9,A,,MW,04:30PM,06:20PM,"Pittsburgh, Pennsylvania",HBH 1004,"Williams, Angela"
1,90452,Applied Statistics for Public Policy,summer all,,N,,F,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",HBH 1004,"Williams, Angela"
2,90454,Applied Economics,summer all,9,A,,MWF,01:30PM,03:20PM,"Pittsburgh, Pennsylvania",HBH 1004,"Benedict, Maryellen"
3,90456,Domestic Policy Analysis Seminar,summer all,9,A,,TR,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",HBH 1004,"Borzutzky, Silvia
Kovak, Brian
Clay, Karen"
4,90463,China Goes Global,summer all,9,A,,TR,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1004,"Borzutzky, Silvia"
5,90464,Negotiation,summer all,9,A,,MW,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",HBH 1004,TBA
6,90490,Independent Study,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
7,90500,Basic Probability,summer two,9,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1005,"Wolfendale, Hilary
Nobles, Mallory"
8,90500,Basic Probability,summer two,,V,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1006,"Wolfendale, Hilary
Nobles, Mallory"
9,90501,Basic Mathematics for Management,summer two,9,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1005,"Nobles, Mallory
Wolfendale, Hilary"
10,90501,Basic Mathematics for Management,summer two,,V,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1006,"Nobles, Mallory
Wolfendale, Hilary"
11,90701,Practicum,summer all,1-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
12,90706,Public Finance: Theories and Cases,summer all,12,K,,M,05:00PM,07:50PM,"Adelaide, Australia",TOR CLASS1,"O'Loughlin, Timothy"
13,90718,Strategic Presentation Skills,summer all,6,A5,Y,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1007,"Walter, Beth"
14,90738,Applied Economics Analysis II,summer all,12,K,,TR,04:30PM,05:50PM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong"
15,90740,Systems Synthesis,summer all,12,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,"O'Loughlin, Timothy"
16,90740,Systems Synthesis,summer all,,L,,TBA,TBA,TBA,"Adelaide, Australia",TBA,"O'Loughlin, Timothy"
17,90744,Financial Analysis of Non-Profits,summer all,6,A5,Y,R,04:30PM,07:20PM,"Pittsburgh, Pennsylvania",HBH 1007,"Smith, Kathleen"
18,90747,Cost Benefit Analysis,summer all,6,K5,Y,TR,03:00PM,04:20PM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong"
19,90801,Desktop Publishing,summer all,6,A6,Y,W,04:30PM,07:20PM,"Pittsburgh, Pennsylvania",BH  140D,"Franko, Gary"
20,90900,Internship,summer all,0,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,"O'Loughlin, Timothy"
21,90900,Internship,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
22,90925,Ph.D. Readings and Research,summer all,1-36,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Telang, Rahul"
23,90932,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
24,90932,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
25,90934,Independent Study,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
26,90934,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,"O'Loughlin, Timothy"
27,90935,Independent Study,summer all,6,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
28,90935,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
29,90936,Independent Study,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
30,90936,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
31,90937,Independent Study,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
32,90937,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
33,90938,Independent Study,summer all,1-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
34,90938,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
