,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,05589,Independent Study in HCI-UG,summer all,3-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Szegedy, Indra"
1,05672,HCI Project II,summer all,48,A,,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",3SC 265,"Berntsen, Karen
Gemperle, Francine
Hillman, Lee
Wahila, Derek
Aleven, Vincent"
2,05680,Independent Study in HCI - METALS,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Bett, Michael"
3,05682,METALS Project 2,summer all,48,A,,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",TBA,"Stamper, John
Mclaren, Bruce"
4,05689,Independent Study in HCI - Grad,summer all,0-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Willis, Nicole"
5,05689,Independent Study in HCI - Grad,summer all,,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Willis, Nicole"
6,05823,E-Learning Design Principles and Methods,summer all,12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
7,05888,Practicum in HCI                                                                 : Practicum in HCI,summer all,3-48,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kravitz, Susan
Hudson, Scott"
8,05888,: Practicum in HCI,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kravitz, Susan
Hudson, Scott"
9,05898,Special Topics in HCI                                                            : Presentation through Improvisational Acting,summer one,6,S,Y,MW,10:30AM,12:20PM,"Pittsburgh, Pennsylvania",PCA 321,"Harger, Brenda"
10,05988,PhD Summer Internship,summer one,VAR,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kravitz, Susan
Hudson, Scott"
11,05997,Reading and Research in HCI,summer one,24-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Kravitz, Susan
Hudson, Scott"
