,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,08606,Privacy by Design Project Workshop                                               : Privacy by Design Project Workshop,summer all,6,A,,W,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",NSH 3002,"Sadeh, Norman
Cranor, Lorrie"
1,08607,Privacy by Design Practicum                                                      : Privacy by Design Practicum,summer all,42,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Sadeh, Norman
Cranor, Lorrie"
2,08609,Privacy Engineering Practicum,summer all,3,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,08610,Internship for Privacy Engineering,summer all,3,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cranor, Lorrie
Sadeh, Norman"
4,08709,Privacy Technology                                                               : Privacy Technology,summer all,6,A5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Breaux, Travis"
5,08709,: Privacy Technology,summer all,,B5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Breaux, Travis"
6,08709,: Privacy Technology,summer all,,C5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Breaux, Travis"
7,08709,: Privacy Technology,summer all,,D5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Breaux, Travis"
8,08712,Big Data,summer all,6,A5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Starzl, Ravi"
9,08712,Big Data,summer all,,B5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Starzl, Ravi"
10,08712,Big Data,summer all,,C5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Starzl, Ravi"
11,08712,Big Data,summer all,,D5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Starzl, Ravi"
12,08715,ePayment                                                                         : ePayment,summer all,8,A5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Shamos, Michael"
13,08715,: ePayment,summer all,,B5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Shamos, Michael"
14,08715,: ePayment,summer all,,C5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Shamos, Michael"
