,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,11630,MCDS Practicum Internship                                                        : MCDS Practicum,Session,0,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Nyberg, Eric
Tomasic, Anthony
Gibson, Garth
Sakr, Majd
Stamper, John"
1,11632,Data Science Analytics Capstone,summer all,1-42,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Nyberg, Eric"
2,11633,MCDS Independent Study,summer all,3-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,11910,Directed Research,summer all,1-48,PP,,TBA,TBA,TBA,"Lisbon, Portugal",TBA,"Frederking, Robert"
4,11910,Directed Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
5,11910,Directed Research,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
6,11910,Directed Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
7,11920,Independent Study: Breadth,summer two,1-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
8,11925,Independent Study: Area,summer two,1-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
9,11927,MIIS Capstone Project,summer all,36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
10,11930,Dissertation Research,summer all,1-48,PP,,TBA,TBA,TBA,"Lisbon, Portugal",TBA,"Frederking, Robert"
11,11930,Dissertation Research,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
12,11935,LTI Practicum,summer all,1-36,M,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Callan, James"
13,11935,LTI Practicum,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Frederking, Robert"
14,11936,PhD Summer Internship,summer all,VAR,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
15,11936,PhD Summer Internship,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
16,11936,PhD Summer Internship,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
