,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,10500,Senior Research Project,Session,"6,12",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Cohen, William
Balcan, Maria"
1,10611,MS DAP Research,Session,12,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cohen, William
Balcan, Maria"
2,10620,Independent Study: Research,summer all,"6,12",A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Cohen, William
Balcan, Maria"
3,10635,Practicum,summer all,VAR,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cohen, William
Balcan, Maria"
4,10697,Reading and Research,summer all,1-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cohen, William
Balcan, Maria"
5,10910,PhD DAP Research,summer all,12,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Poczos, Barnabas"
6,10920,Graduate Reading and Research,summer all,12-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Poczos, Barnabas"
7,10930,Dissertation Research,summer all,5-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Poczos, Barnabas"
8,10935,Practicum,summer all,3-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Poczos, Barnabas"
9,10936,PhD Internship,summer all,VAR,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Poczos, Barnabas"
