,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,88300,Programming and Data Analysis for Social Scientists,summer one,9,S,,MTWRF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",SH  214,"Patterson, Mark"
1,88398,Independent Study,summer one,1-18,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Loewenstein, George"
2,88398,Independent Study,summer one,,T,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
3,88398,Independent Study,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Fischbeck, Paul"
4,88398,Independent Study,summer two,,V,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
5,88398,Independent Study,qatar summer,,W,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Downs, Julie"
6,88399,Undergraduate Research,summer all,1-18,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
7,88399,Undergraduate Research,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
8,88505,Undergraduate Internship,summer one,1-9,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
9,88505,Undergraduate Internship,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
10,88995,SDS Graduate Internship,summer two,1-12,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
11,88998,Graduate Reading and Research,summer two,0-36,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
