,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,36200,Reasoning with Data,summer one,9,S,,MWF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A18A,TBA
1,36200,Reasoning with Data,summer one,,N,,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",BH  140E,TBA
2,36200,Reasoning with Data,summer two,,U,,MWF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A18A,TBA
3,36200,Reasoning with Data,summer two,,N,,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",BH  140CE,TBA
4,36202,Methods for Statistical Data Science,summer two,9,U,,MWF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A18A,TBA
5,36202,Methods for Statistical Data Science,summer two,,N,,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",BH  140CE,TBA
6,36208,Regression Analysis,summer two,9,U,,MTWRF,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",PH  A19A,"Reddig, Kole"
7,36217,Probability Theory and Random Processes,summer one,9,S,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A18A,TBA
8,36225,Introduction to Probability Theory,summer one,9,S,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A22,TBA
9,36226,Introduction to Statistical Inference,summer two,9,U,,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",DH  A302,TBA
10,36309,Experimental Design for Behavioral and Social Sciences,summer two,9,U,,MWF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",PH  A19,TBA
11,36309,Experimental Design for Behavioral and Social Sciences,summer two,,N,,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA 317,TBA
12,36315,Statistical Graphics and Visualization,summer one,9,S,,MWF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",PH  A22,TBA
13,36315,Statistical Graphics and Visualization,summer one,,N,,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",BH  140E,TBA
14,36350,Statistical Computing,summer two,9,U,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",SH  219,TBA
15,36495,Independent Study,summer one,0-36,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Seltman, Howard"
16,36995,Reading and Research,summer one,1-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
17,36997,Practicum in Statistics,summer one,1-36,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
