,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,45720,Finance I,Session,6,F6,Y,TR,08:00PM,09:50PM,"Pittsburgh, Pennsylvania",TPR 2110,"Telmer, Chris"
1,45720,Finance I,Session,,M6,Y,TR,06:00PM,07:50PM,"Pittsburgh, Pennsylvania",TBA,"Telmer, Chris"
2,45751,Optimization,Session,6,F6,Y,TR,06:00PM,07:50PM,"Pittsburgh, Pennsylvania",TPR 2110,"Kilinc-Karzan, Fatma"
3,45770,Corporate Strategy,Session,6,F5,Y,TR,06:00PM,07:45PM,"Pittsburgh, Pennsylvania",POS 152,"Hahl, Oliver"
4,45770,Corporate Strategy,Session,,M5,Y,TR,08:00PM,09:50PM,"Pittsburgh, Pennsylvania",TBA,"Hahl, Oliver"
5,45790,Management Presentations,Session,6,F5,Y,TR,08:00PM,09:50PM,"Pittsburgh, Pennsylvania",POS 145,"Pierce, Evelyn"
6,45790,Management Presentations,Session,,G5,Y,TR,08:00PM,09:50PM,"Pittsburgh, Pennsylvania",POS 146,"Placone, Ronald"
7,45790,Management Presentations,Session,,M5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Pierce, Evelyn"
8,45790,Management Presentations,Session,,O5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Pierce, Evelyn"
9,45791,Interpersonal Managerial  Communications,Session,6,M6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Deems, Julia"
10,45791,Interpersonal Managerial  Communications,Session,,O6,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Deems, Julia"
11,45803,"Strategy, Performance Measurement and Corporate Governance                       : Strategy, Performance Measurement and Corporate Governance",Session,6,E6,Y,M,06:00PM,09:30PM,"Pittsburgh, Pennsylvania",TPR 2111,"Corona, Carlos"
